topology,phase,version,host,step,value,unit
standalone_cross,setup,before,104,namespace_address,217.29946941801336,mean step latency ms per endpoint
standalone_cross,setup,after,103,namespace_address,0.0,mean step latency ms per endpoint
standalone_cross,setup,after,104,namespace_address,0.0,mean step latency ms per endpoint
standalone_cross,setup,before,103,endpoint_namespace,2.2338837379920733,mean step latency ms per endpoint
standalone_cross,setup,before,104,endpoint_namespace,2.2719752049815725,mean step latency ms per endpoint
standalone_cross,setup,after,103,endpoint_namespace,13.656723202011563,mean step latency ms per endpoint
standalone_cross,setup,after,104,endpoint_namespace,14.517729150975356,mean step latency ms per endpoint
standalone_cross,setup,before,103,namespace_default_route,2.1587346589994922,mean step latency ms per endpoint
standalone_cross,setup,before,104,namespace_default_route,2.1776053330067953,mean step latency ms per endpoint
standalone_cross,setup,after,103,namespace_default_route,0.0,mean step latency ms per endpoint
standalone_cross,setup,after,104,namespace_default_route,0.0,mean step latency ms per endpoint
standalone_cross,setup,before,103,bridge_attach,1.3229382920135322,mean step latency ms per endpoint
standalone_cross,setup,before,104,bridge_attach,1.3165788379965306,mean step latency ms per endpoint
standalone_cross,setup,after,103,bridge_attach,16.688347805995363,mean step latency ms per endpoint
standalone_cross,setup,after,104,bridge_attach,17.83110374202988,mean step latency ms per endpoint
standalone_cross,setup,before,103,stale_same_host_cleanup,0.2098209410041818,mean step latency ms per endpoint
standalone_cross,setup,before,104,stale_same_host_cleanup,0.21914597899012733,mean step latency ms per endpoint
standalone_cross,setup,after,103,stale_same_host_cleanup,0.0,mean step latency ms per endpoint
standalone_cross,setup,after,104,stale_same_host_cleanup,0.0,mean step latency ms per endpoint
standalone_cross,setup,before,103,vxlan,0.9396179590021347,mean step latency ms per endpoint
standalone_cross,setup,before,104,vxlan,0.9658138610038804,mean step latency ms per endpoint
standalone_cross,setup,after,103,vxlan,6.566002619994833,mean step latency ms per endpoint
standalone_cross,setup,after,104,vxlan,6.869465812991621,mean step latency ms per endpoint
standalone_cross,setup,before,103,key_salt_hash,217.12634858101683,mean step latency ms per endpoint
standalone_cross,setup,before,104,key_salt_hash,216.23164311600158,mean step latency ms per endpoint
standalone_cross,setup,after,103,key_salt_hash,0.0,mean step latency ms per endpoint
standalone_cross,setup,after,104,key_salt_hash,0.0,mean step latency ms per endpoint
standalone_cross,setup,before,103,crypto_install,6.046426238986896,mean step latency ms per endpoint
standalone_cross,setup,before,104,crypto_install,6.096973825009627,mean step latency ms per endpoint
standalone_cross,setup,after,103,crypto_install,14.05717316996379,mean step latency ms per endpoint
standalone_cross,setup,after,104,crypto_install,15.122225863988206,mean step latency ms per endpoint
standalone_cross,setup,before,103,crypto_attach,0.001293889000407944,mean step latency ms per endpoint
standalone_cross,setup,before,104,crypto_attach,0.0012488890015447396,mean step latency ms per endpoint
standalone_cross,setup,after,103,crypto_attach,4.433455379001316,mean step latency ms per endpoint
standalone_cross,setup,after,104,crypto_attach,4.806730027981757,mean step latency ms per endpoint
standalone_cross,setup,before,103,ip_forward,1.7004012670122393,mean step latency ms per endpoint
standalone_cross,setup,before,104,ip_forward,1.685229913989133,mean step latency ms per endpoint
standalone_cross,setup,after,103,ip_forward,0.0,mean step latency ms per endpoint
standalone_cross,setup,after,104,ip_forward,0.0,mean step latency ms per endpoint
standalone_cross,setup,before,103,forward_policy,189.18688854000447,mean step latency ms per endpoint
standalone_cross,setup,before,104,forward_policy,187.48842506697565,mean step latency ms per endpoint
standalone_cross,setup,after,103,forward_policy,0.0,mean step latency ms per endpoint
standalone_cross,setup,after,104,forward_policy,0.0,mean step latency ms per endpoint
standalone_cross,teardown,before,103,crypto_remove,1.1426284279996253,phase wall seconds per 1000 endpoints
standalone_cross,teardown,before,104,crypto_remove,0.9289806300002965,phase wall seconds per 1000 endpoints
standalone_cross,teardown,after,103,crypto_remove,0.08543023499987612,phase wall seconds per 1000 endpoints
standalone_cross,teardown,after,104,crypto_remove,0.08591559800152027,phase wall seconds per 1000 endpoints
standalone_cross,teardown,before,103,link_dump,0.03725625199967908,phase wall seconds per 1000 endpoints
standalone_cross,teardown,before,104,link_dump,0.034684924999965006,phase wall seconds per 1000 endpoints
standalone_cross,teardown,after,103,link_dump,0.035184446000130265,phase wall seconds per 1000 endpoints
standalone_cross,teardown,after,104,link_dump,0.03484439400017436,phase wall seconds per 1000 endpoints
standalone_cross,teardown,before,103,regroup,0.15064938100113068,phase wall seconds per 1000 endpoints
standalone_cross,teardown,before,104,regroup,0.14749750999999378,phase wall seconds per 1000 endpoints
standalone_cross,teardown,after,103,regroup,0.11967471200114232,phase wall seconds per 1000 endpoints
standalone_cross,teardown,after,104,regroup,0.10460359300122946,phase wall seconds per 1000 endpoints
standalone_cross,teardown,before,103,link_delete,40.627004951000345,phase wall seconds per 1000 endpoints
standalone_cross,teardown,before,104,link_delete,42.19639811700108,phase wall seconds per 1000 endpoints
standalone_cross,teardown,after,103,link_delete,1.2707275669963565,phase wall seconds per 1000 endpoints
standalone_cross,teardown,after,104,link_delete,1.1395990240016545,phase wall seconds per 1000 endpoints
standalone_cross,teardown,before,103,last_peer_crypto,0,phase wall seconds per 1000 endpoints
standalone_cross,teardown,before,104,last_peer_crypto,0,phase wall seconds per 1000 endpoints
